,Requirment
798,87
799,63
800,107
801,174
802,189
803,206
804,248
805,80
806,157
807,13
808,35
809,84
810,88
811,138
812,143
813,16
814,17
815,24
816,15
817,31
818,85
819,15
820,35
821,42
822,147
823,189
824,192
825,15
826,43
827,50
828,80
829,86
830,90
831,63
832,84
833,97
834,99
835,105
836,136
837,24
838,15
839,117
840,119
841,167
842,173
843,35
844,63
845,50
846,74
847,119
848,157
849,17
850,15
851,33
852,41
853,73
854,84
855,13
856,24
857,15
858,31
859,35
860,46
861,63
862,166
863,189
864,184
865,248
866,261
867,17
868,35
869,58
870,62
871,84
872,94
873,119
874,120
875,191
876,248
877,84
878,120
879,191
880,234
881,248
882,266
883,13
884,24
885,15
886,36
887,42
888,63
889,13
890,24
891,15
892,31
893,35
894,46
895,9
896,36
897,81
898,119
899,131
900,174
901,33
902,55
903,84
904,119
905,122
906,189
907,39
908,63
909,88
910,90
911,119
912,136
913,15
914,106
915,117
916,167
917,173
918,180
919,13
920,15
921,31
922,65
923,97
924,104
925,15
926,34
927,102
928,119
929,137
930,189
931,65
932,130
933,142
934,182
935,232
936,234
937,17
938,15
939,80
940,87
941,119
942,182
943,17
944,36
945,46
946,94
947,88
948,91
949,88
950,157
951,17
952,15
953,33
954,41
955,73
956,50
957,24
958,15
959,92
960,119
961,234
962,238
963,17
964,15
965,35
966,40
967,80
968,120
969,34
970,35
971,63
972,102
973,119
974,137
975,24
976,15
977,31
978,35
979,65
980,80
981,16
982,63
983,97
984,157
985,180
986,189
987,63
988,94
989,119
990,114
991,120
992,185
993,15
994,31
995,35
996,63
997,64
998,65
999,63
1000,64
1001,97
1002,119
1003,189
1004,184
1005,16
1006,13
1007,31
1008,94
1009,86
1010,87
1011,33
1012,63
1013,68
1014,84
1015,157
1016,174
1017,43
1018,120
1019,123
1020,248
1021,63
1022,87
1023,97
1024,153
1025,154
1026,189
1027,24
1028,15
1029,65
1030,100
1031,106
1032,119
1033,4
1034,34
1035,46
1036,64
1037,97
1038,107
1039,17
1040,24
1041,15
1042,87
1043,119
1044,124
1045,4
1046,33
1047,43
1048,63
1049,65
1050,84
1051,63
1052,119
1053,138
1054,189
1055,192
1056,184
1057,24
1058,31
1059,43
1060,98
1061,189
1062,256
1063,120
1064,123
1065,138
1066,192
1067,241
1068,256
1069,35
1070,63
1071,84
1072,86
1073,116
1074,119
1075,13
1076,24
1077,62
1078,63
1079,84
1080,80
1081,36
1082,84
1083,80
1084,92
1085,107
1086,119
1087,16
1088,8
