,Requirment
2993,238
2994,241
2995,15
2996,63
2997,102
2998,119
2999,172
3000,173
3001,13
3002,80
3003,107
3004,114
3005,16
3006,13
3007,31
3008,46
3009,63
3010,87
3011,2
3012,27
3013,35
3014,57
3015,63
3016,64
3017,16
3018,15
3019,31
3020,35
3021,63
3022,90
3023,56
3024,120
3025,248
3026,273
3027,15
3028,31
3029,35
3030,57
3031,63
3032,64
3033,87
3034,117
3035,137
3036,167
3037,180
3038,204
3039,24
3040,184
3041,186
3042,233
3043,33
3044,43
3045,63
3046,50
3047,85
3048,86
3049,63
3050,65
3051,66
3052,80
3053,98
3054,119
3055,15
3056,35
3057,63
3058,64
3059,84
3060,80
3061,15
3062,31
3063,119
3064,130
3065,142
3066,189
3067,84
3068,83
3069,114
3070,120
3071,200
3072,232
3073,24
3074,42
3075,63
3076,84
3077,91
3078,119
3079,4
3080,17
3081,20
3082,35
3083,84
3084,107
3085,15
3086,63
3087,97
3088,130
3089,135
3090,174
3091,84
3092,86
3093,238
3094,241
3095,248
3096,266
3097,16
3098,15
3099,63
3100,75
3101,120
3102,189
3103,13
3104,86
3105,238
3106,249
3107,104
3108,119
3109,241
3110,242
3111,15
3112,64
3113,97
3114,102
3115,119
3116,157
3117,43
3118,65
3119,50
3120,80
3121,107
3122,116
3123,15
3124,35
3125,65
3126,66
3127,94
3128,86
3129,15
3130,31
3131,86
3132,83
3133,119
3134,114
3135,24
3136,35
3137,36
3138,119
3139,122
3140,147
3141,4
3142,13
3143,94
3144,87
3145,137
3146,189
3147,4
3148,84
3149,232
3150,235
3151,238
3152,248
3153,16
3154,24
3155,26
3156,15
3157,85
3158,92
3159,63
3160,64
3161,97
3162,107
3163,119
3164,130
3165,35
3166,43
3167,84
3168,110
3169,120
3170,189
3171,15
3172,35
3173,63
3174,119
3175,121
3176,130
3177,58
3178,63
3179,97
3180,119
3181,189
3182,184
3183,81
3184,97
3185,153
3186,154
3187,189
3188,184
3189,16
3190,63
3191,119
3192,136
3193,248
3194,256
3195,4
3196,63
3197,94
3198,119
3199,136
3200,189
3201,15
3202,31
3203,34
3204,53
3205,80
3206,137
3207,35
3208,43
3209,84
3210,110
3211,120
3212,189
3213,84
3214,90
3215,107
3216,110
3217,119
3218,120
3219,65
3220,81
3221,115
3222,120
3223,166
3224,191
3225,80
3226,85
3227,86
3228,88
3229,107
3230,120
3231,90
3232,119
3233,189
3234,238
3235,248
3236,256
3237,16
3238,63
3239,119
3240,136
3241,248
3242,256
3243,36
3244,87
3245,90
3246,112
3247,119
3248,114
3249,35
3250,43
3251,84
3252,110
3253,120
3254,189
3255,13
3256,84
3257,123
3258,241
3259,243
3260,256
3261,63
3262,72
3263,102
3264,119
3265,167
3266,173
3267,13
3268,119
3269,136
3270,141
3271,173
3272,16
3273,43
3274,65
3275,66
3276,94
3277,86
3278,53
3279,63
3280,116
3281,119
3282,123
3283,122
3284,35
3285,50
3286,94
3287,90
3288,119
3289,120
3290,16
3291,24
3292,15
3293,36
3294,95
3295,90
3296,84
3297,80
3298,110
3299,120
3300,123
3301,238
3302,15
3303,35
3304,46
3305,63
3306,86
3307,98
3308,15
3309,63
3310,64
3311,50
3312,97
3313,119
3314,16
3315,24
3316,35
3317,42
3318,46
3319,63
3320,15
3321,58
3322,102
3323,118
3324,119
3325,126
3326,35
3327,43
3328,84
3329,110
3330,120
3331,189
3332,43
3333,112
3334,114
3335,137
3336,215
3337,217
3338,58
3339,63
3340,97
3341,119
3342,189
3343,184
3344,12
3345,13
3346,24
3347,15
3348,31
3349,46
3350,24
3351,58
3352,63
3353,97
3354,119
3355,189
3356,16
3357,15
3358,84
3359,86
3360,110
3361,119
3362,15
3363,58
3364,102
3365,118
3366,119
3367,126
3368,35
3369,65
3370,163
3371,180
3372,189
3373,193
3374,84
3375,92
3376,116
3377,119
3378,120
3379,123
3380,50
3381,120
3382,192
3383,220
3384,232
3385,234
3386,35
3387,43
3388,84
3389,110
3390,120
3391,189
3392,15
3393,63
3394,102
3395,119
3396,172
3397,173
3398,16
3399,24
3400,26
3401,15
3402,35
3403,85
3404,16
3405,15
3406,46
3407,87
3408,98
3409,119
3410,24
3411,15
3412,31
3413,35
3414,63
3415,87
3416,15
3417,31
3418,36
3419,43
3420,84
3421,88
3422,16
3423,24
3424,15
3425,36
3426,95
3427,90
3428,24
3429,63
3430,119
3431,162
3432,192
3433,228
3434,2
3435,27
3436,35
3437,57
3438,63
3439,64
3440,16
3441,13
3442,31
3443,46
3444,63
3445,94
3446,39
3447,84
3448,119
3449,136
3450,157
3451,227
3452,35
3453,43
3454,63
3455,120
3456,189
3457,192
3458,13
3459,29
3460,15
3461,31
3462,63
3463,86
3464,31
3465,63
3466,80
3467,88
3468,90
3469,119
3470,63
3471,116
3472,120
3473,227
3474,233
3475,238
3476,15
3477,31
3478,35
3479,57
3480,63
3481,64
3482,13
3483,120
3484,166
3485,204
3486,238
3487,241
3488,33
3489,116
3490,123
3491,232
3492,266
3493,43
3494,84
3495,80
3496,86
3497,90
3498,136
3499,24
3500,26
3501,15
3502,31
3503,65
3504,80
3505,35
3506,43
3507,84
3508,110
3509,120
3510,189
3511,13
3512,15
3513,84
3514,80
3515,88
3516,120
3517,35
3518,80
3519,85
3520,86
3521,88
3522,123
3523,24
3524,43
3525,84
3526,85
3527,90
3528,114
3529,36
3530,43
3531,85
3532,90
3533,119
3534,123
3535,16
3536,24
3537,35
3538,43
3539,91
3540,97
3541,16
3542,84
3543,85
3544,86
3545,88
3546,119
3547,24
3548,34
3549,35
3550,80
3551,86
3552,81
3553,63
3554,80
3555,97
3556,119
3557,174
3558,189
3559,84
3560,119
3561,120
3562,146
3563,192
3564,227
3565,35
3566,36
3567,43
3568,63
3569,120
3570,161
3571,16
3572,17
3573,35
3574,36
3575,43
3576,63
3577,13
3578,24
3579,31
3580,42
3581,65
3582,77
3583,4
3584,63
3585,65
3586,84
3587,90
3588,107
3589,15
3590,49
3591,102
3592,137
3593,138
3594,139
3595,16
3596,17
3597,15
3598,94
3599,92
3600,87
3601,4
3602,43
3603,63
3604,65
3605,107
3606,116
3607,15
3608,58
3609,108
3610,109
3611,112
3612,119
3613,45
3614,58
3615,80
3616,119
3617,227
3618,238
3619,16
3620,13
3621,84
3622,123
3623,164
3624,189
3625,16
3626,35
3627,63
3628,86
3629,119
3630,162
3631,4
3632,17
3633,41
3634,55
3635,63
3636,64
3637,4
3638,62
3639,84
3640,90
3641,119
3642,174
3643,16
3644,63
3645,119
3646,164
3647,222
3648,232
3649,43
3650,50
3651,123
3652,238
3653,256
3654,266
3655,17
3656,22
3657,26
3658,15
3659,35
3660,63
3661,33
3662,43
3663,88
3664,114
3665,238
3666,251
3667,17
3668,13
3669,43
3670,87
3671,88
3672,91
3673,63
3674,84
3675,137
3676,238
3677,256
3678,266
3679,24
3680,67
3681,97
3682,99
3683,136
3684,174
3685,16
3686,15
3687,31
3688,35
3689,94
3690,85
3691,15
3692,119
3693,157
3694,248
3695,9
3696,24
3697,58
3698,63
3699,80
3700,81
3701,119
3702,122
3703,174
3704,206
3705,13
3706,24
3707,31
3708,35
3709,41
3710,84
3711,107
3712,249
3713,24
3714,103
3715,119
3716,180
3717,189
3718,238
3719,16
3720,31
3721,43
3722,46
3723,91
3724,98
3725,17
3726,13
3727,40
3728,63
3729,94
3730,85
3731,43
3732,48
3733,107
3734,114
3735,120
3736,238
3737,50
3738,85
3739,86
3740,24
3741,31
3742,43
3743,88
3744,98
3745,120
3746,35
3747,65
3748,180
3749,189
3750,193
3751,226
3752,15
3753,31
3754,63
3755,86
3756,87
3757,90
3758,31
3759,35
3760,46
3761,65
3762,130
3763,142
3764,16
3765,24
3766,35
3767,65
3768,86
3769,180
3770,16
3771,63
3772,87
3773,130
3774,137
3775,142
3776,43
3777,50
3778,123
3779,234
3780,238
3781,256
3782,53
3783,58
3784,62
3785,63
3786,84
3787,116
3788,63
3789,64
3790,67
3791,97
3792,119
3793,189
3794,33
3795,41
3796,73
3797,87
3798,119
3799,189
3800,4
3801,63
3802,65
3803,84
3804,90
3805,107
3806,4
3807,17
3808,35
3809,53
3810,63
3811,67
3812,63
3813,84
3814,81
3815,189
3816,238
3817,263
3818,16
3819,35
3820,36
3821,43
3822,63
3823,97
3824,13
3825,24
3826,15
3827,31
3828,35
3829,65
3830,13
3831,24
3832,63
3833,81
3834,107
3835,119
3836,13
3837,24
3838,43
3839,58
3840,84
3841,120
3842,63
3843,84
3844,90
3845,119
3846,189
3847,192
3848,63
3849,85
3850,86
3851,89
3852,120
3853,123
3854,63
3855,84
3856,116
3857,120
3858,123
3859,136
3860,63
3861,116
3862,119
3863,120
3864,166
3865,182
3866,24
3867,35
3868,65
3869,66
3870,86
3871,180
3872,17
3873,15
3874,91
3875,114
3876,189
3877,263
3878,24
3879,84
3880,81
3881,90
3882,107
3883,189
3884,4
3885,43
3886,63
3887,65
3888,107
3889,116
3890,97
3891,169
3892,189
3893,238
3894,270
3895,271
3896,17
3897,15
3898,35
3899,100
3900,114
3901,122
3902,63
3903,67
3904,100
3905,119
3906,136
3907,189
3908,86
3909,88
3910,119
3911,120
3912,261
3913,273
3914,15
3915,31
3916,58
3917,63
3918,119
3919,130
3920,13
3921,81
3922,82
3923,189
3924,232
3925,238
3926,24
3927,119
3928,174
3929,189
3930,206
3931,238
3932,87
3933,166
3934,229
3935,233
3936,238
3937,248
3938,35
3939,65
3940,66
3941,180
3942,189
3943,193
3944,16
3945,33
3946,55
3947,63
3948,206
3949,260
3950,107
3951,120
3952,24
3953,15
3954,43
3955,58
3956,65
3957,90
3958,63
3959,86
3960,261
3961,17
3962,15
3963,33
3964,41
3965,58
3966,63
3967,16
3968,35
3969,43
3970,63
3971,80
3972,87
3973,63
3974,119
3975,136
3976,189
3977,248
3978,17
3979,52
3980,63
3981,89
3982,117
3983,119
3984,35
3985,65
3986,180
3987,189
3988,193
3989,226
3990,50
3991,107
3992,120
3993,238
3994,256
3995,15
3996,31
3997,35
3998,80
3999,114
4000,130
4001,35
4002,65
4003,180
4004,189
4005,193
4006,226
4007,80
4008,232
4009,238
4010,256
4011,269
4012,273
4013,17
4014,43
4015,88
4016,91
4017,112
4018,119
4019,13
4020,75
4021,90
4022,161
4023,234
4024,245
4025,16
4026,17
4027,27
4028,15
4029,31
4030,63
4031,63
4032,87
4033,90
4034,119
4035,135
4036,189
4037,13
4038,63
4039,100
4040,119
4041,136
4042,217
4043,17
4044,24
4045,15
4046,31
4047,79
4048,87
4049,15
4050,43
4051,65
4052,84
4053,88
4054,90
4055,17
4056,23
4057,13
4058,24
4059,26
4060,15
4061,13
4062,24
4063,15
4064,31
4065,87
4066,90
4067,63
4068,84
4069,87
4070,119
4071,136
4072,189
4073,33
4074,63
4075,88
4076,119
4077,261
4078,256
4079,4
4080,17
4081,13
4082,24
4083,46
4084,87
4085,22
4086,24
4087,64
4088,84
4089,119
4090,136
4091,63
4092,86
4093,156
4094,211
4095,248
4096,266
4097,24
4098,46
4099,64
4100,97
4101,119
4102,137
4103,97
4104,137
4105,189
4106,206
4107,238
4108,237
4109,16
4110,13
4111,24
4112,31
4113,43
4114,63
4115,64
4116,97
4117,136
4118,189
4119,227
4120,248
4121,17
4122,23
4123,13
4124,24
4125,26
4126,15
4127,24
4128,43
4129,81
4130,88
4131,91
4132,114
4133,32
4134,63
4135,137
4136,157
4137,189
4138,206
4139,84
4140,80
4141,147
4142,189
4143,206
4144,234
4145,13
4146,15
4147,31
4148,49
4149,102
4150,117
4151,17
4152,41
4153,55
4154,63
4155,64
4156,73
4157,16
4158,35
4159,43
4160,63
4161,84
4162,80
4163,43
4164,65
4165,84
4166,120
4167,123
4168,13
4169,24
4170,15
4171,33
4172,41
4173,73
4174,120
4175,191
4176,234
4177,248
4178,266
4179,23
4180,15
4181,31
4182,138
4183,139
4184,173
4185,80
4186,115
4187,120
4188,238
4189,241
4190,264
4191,16
4192,24
4193,15
4194,31
4195,55
4196,58
4197,13
4198,15
4199,31
4200,35
4201,65
4202,94
4203,50
4204,92
4205,189
4206,16
4207,43
4208,63
4209,87
4210,119
4211,120
4212,4
4213,43
4214,63
4215,65
4216,80
4217,107
4218,91
4219,251
4220,256
4221,270
4222,273
4223,35
4224,43
4225,80
4226,90
4227,83
4228,119
4229,13
4230,24
4231,15
4232,31
4233,87
4234,90
4235,16
4236,35
4237,63
4238,65
4239,50
4240,80
4241,13
4242,63
4243,130
4244,142
4245,174
4246,189
4247,24
4248,26
4249,15
4250,35
4251,63
4252,80
4253,116
4254,119
4255,174
4256,189
4257,206
4258,238
4259,16
4260,13
4261,15
4262,31
4263,63
4264,87
4265,31
4266,62
4267,63
4268,84
4269,80
4270,123
4271,16
4272,23
4273,24
4274,29
4275,15
4276,40
4277,16
4278,24
4279,86
4280,90
4281,123
4282,122
4283,24
4284,15
4285,31
4286,35
4287,58
4288,63
4289,17
4290,92
4291,98
4292,130
4293,142
4294,157
4295,16
4296,63
4297,90
4298,119
4299,161
4300,192
4301,13
4302,24
4303,31
4304,35
4305,46
4306,63
4307,16
4308,86
4309,88
4310,107
4311,120
4312,232
4313,16
4314,63
4315,84
4316,87
4317,110
4318,119
4319,16
4320,31
4321,80
4322,94
4323,119
4324,120
4325,16
4326,31
4327,63
4328,80
4329,98
4330,119
4331,15
4332,32
4333,63
4334,64
4335,86
4336,97
4337,17
4338,35
4339,53
4340,63
4341,97
4342,116
4343,16
4344,17
4345,15
4346,92
4347,87
4348,91
4349,15
4350,64
4351,81
4352,180
4353,189
4354,213
4355,4
4356,17
4357,35
4358,53
4359,63
4360,84
4361,85
4362,88
4363,123
4364,31
4365,36
4366,37
4367,63
4368,94
4369,87
4370,15
4371,119
4372,180
4373,189
4374,184
4375,186
4376,15
4377,63
4378,85
4379,119
4380,121
4381,189
4382,63
4383,97
4384,137
4385,134
4386,192
4387,206
4388,35
4389,43
4390,84
4391,90
4392,116
4393,119
4394,17
4395,15
4396,33
4397,41
4398,58
4399,63
4400,16
4401,15
4402,31
4403,94
4404,119
4405,114
4406,4
4407,63
4408,84
4409,87
4410,90
4411,119
4412,16
4413,24
4414,35
4415,62
4416,63
4417,84
4418,65
4419,80
4420,116
4421,120
4422,16
4423,15
4424,43
4425,46
4426,88
4427,119
4428,15
4429,31
4430,119
4431,130
4432,142
4433,189
4434,13
4435,80
4436,98
4437,120
4438,238
4439,243
4440,13
4441,102
4442,119
4443,123
4444,160
4445,167
4446,23
4447,15
4448,87
4449,98
4450,117
4451,119
4452,16
4453,17
4454,24
4455,31
4456,36
4457,85
4458,36
4459,42
4460,65
4461,84
4462,80
4463,107
4464,35
4465,42
4466,53
4467,63
4468,116
4469,119
4470,15
4471,31
4472,36
4473,43
4474,84
4475,88
4476,63
4477,50
4478,107
4479,119
4480,131
4481,176
4482,33
4483,120
4484,123
4485,24
4486,31
4487,43
4488,63
4489,94
4490,87
4491,24
4492,114
4493,182
4494,215
4495,220
4496,224
4497,16
4498,13
4499,24
4500,15
4501,46
4502,84
4503,24
4504,15
4505,67
4506,119
4507,160
4508,247
4509,65
4510,119
4511,192
4512,24
4513,58
4514,84
4515,80
4516,238
4517,270
4518,80
4519,120
4520,261
4521,16
4522,17
4523,24
4524,29
4525,36
4526,41
4527,17
4528,88
4529,120
4530,189
4531,184
4532,222
4533,33
4534,63
4535,65
4536,84
4537,90
4538,107
4539,35
4540,63
4541,80
4542,94
4543,116
4544,123
4545,17
4546,15
4547,35
4548,63
4549,84
4550,94
4551,16
4552,15
4553,31
4554,43
4555,65
4556,98
4557,4
4558,33
4559,43
4560,63
4561,65
4562,84
4563,24
4564,36
4565,95
4566,89
4567,119
4568,114
4569,17
4570,13
4571,24
4572,15
4573,36
4574,46
4575,16
4576,8
4577,24
4578,35
4579,97
4580,119
4581,80
4582,90
4583,120
4584,123
4585,227
4586,232
4587,24
4588,189
4589,238
4590,237
4591,241
4592,242
4593,43
4594,90
4595,115
4596,136
4597,248
4598,266
4599,16
4600,24
4601,34
4602,63
4603,64
4604,97
4605,63
4606,83
4607,117
4608,119
4609,161
4610,209
4611,64
4612,97
4613,100
4614,119
4615,147
4616,189
4617,80
4618,95
4619,85
4620,86
4621,88
4622,107
4623,31
4624,46
4625,58
4626,62
4627,80
4628,89
4629,31
4630,98
4631,157
4632,229
4633,232
4634,256
4635,17
4636,15
4637,46
4638,64
4639,94
4640,85
4641,13
4642,24
4643,50
4644,119
4645,173
4646,189
4647,63
4648,85
4649,232
4650,248
4651,24
4652,63
4653,256
4654,273
4655,35
4656,58
4657,119
4658,189
4659,184
4660,248
4661,41
4662,73
4663,119
4664,122
4665,189
4666,234
4667,82
4668,91
4669,83
4670,119
4671,114
4672,182
4673,80
4674,98
4675,119
4676,136
4677,261
4678,266
4679,34
4680,35
4681,36
4682,53
4683,63
4684,84
4685,36
4686,37
4687,63
4688,95
4689,87
4690,119
4691,63
4692,84
4693,88
4694,90
4695,112
4696,119
4697,13
4698,36
4699,46
4700,80
4701,87
4702,88
4703,15
4704,43
4705,81
4706,90
4707,91
4708,106
4709,90
4710,97
4711,189
4712,192
4713,238
4714,241
4715,24
4716,15
4717,31
4718,80
4719,189
4720,227
4721,119
4722,193
4723,227
4724,228
4725,238
4726,241
4727,5
4728,13
4729,24
4730,31
4731,54
4732,76
4733,17
4734,15
4735,36
4736,43
4737,94
4738,87
4739,24
4740,64
4741,97
4742,136
4743,189
4744,201
4745,16
4746,80
4747,86
4748,119
4749,160
4750,238
4751,24
4752,35
4753,65
4754,94
4755,83
4756,119
4757,16
4758,20
4759,41
4760,63
4761,73
4762,84
4763,4
4764,16
4765,46
4766,63
4767,90
4768,102
4769,24
4770,15
4771,33
4772,35
4773,41
4774,63
4775,43
4776,84
4777,80
4778,81
4779,90
4780,116
4781,16
4782,33
4783,86
4784,82
4785,120
4786,122
4787,16
4788,13
4789,42
4790,43
4791,63
4792,85
4793,64
4794,140
4795,64
4796,97
4797,102
4798,137
4799,180
4800,189
4801,64
4802,97
4803,119
4804,189
4805,193
4806,238
4807,65
4808,116
4809,189
4810,234
4811,248
4812,43
4813,50
4814,88
4815,90
4816,107
4817,119
4818,53
4819,80
4820,107
4821,116
4822,119
4823,189
4824,16
4825,15
4826,31
4827,84
4828,80
4829,82
4830,24
4831,15
4832,31
4833,65
4834,66
4835,87
4836,24
4837,119
4838,162
4839,192
4840,216
4841,248
4842,35
4843,63
4844,84
4845,80
4846,119
4847,180
4848,16
4849,17
4850,13
4851,31
4852,35
4853,43
4854,72
4855,84
4856,80
4857,81
4858,115
4859,119
4860,16
4861,43
4862,260
4863,264
4864,41
4865,73
4866,84
4867,86
4868,123
4869,248
4870,17
4871,22
4872,13
4873,24
4874,15
4875,31
4876,97
4877,122
4878,189
4879,238
4880,237
4881,241
4882,16
4883,13
4884,15
4885,119
4886,114
4887,166
4888,50
4889,84
4890,119
4891,120
4892,123
4893,138
4894,17
4895,100
4896,117
4897,126
4898,141
4899,167
4900,63
4901,86
4902,81
4903,87
4904,88
4905,119
4906,4
4907,20
4908,82
4909,90
4910,123
4911,182
4912,20
4913,36
4914,90
4915,102
4916,122
4917,173
4918,17
4919,15
4920,85
4921,88
4922,119
4923,114
4924,24
4925,63
4926,65
4927,80
4928,86
4929,90
4930,50
4931,119
4932,189
4933,184
4934,63
4935,80
4936,81
4937,116
4938,120
4939,192
4940,16
4941,17
4942,35
4943,87
4944,91
4945,117
4946,63
4947,97
4948,119
4949,136
4950,189
4951,206
4952,31
4953,36
4954,37
4955,63
4956,94
4957,87
4958,23
4959,24
4960,35
4961,36
4962,130
4963,136
4964,24
4965,31
4966,50
4967,87
4968,90
4969,119
4970,13
4971,27
4972,35
4973,57
4974,63
4975,97
4976,63
4977,97
4978,119
4979,180
4980,189
4981,192
4982,13
4983,80
4984,119
4985,203
4986,210
4987,238
4988,119
4989,189
4990,248
4991,17
4992,24
4993,31
4994,35
4995,46
4996,63
4997,63
4998,189
4999,238
5000,248
5001,15
5002,56
5003,63
5004,119
5005,153
5006,154
5007,24
5008,41
5009,43
5010,63
5011,119
5012,182
5013,43
5014,63
5015,84
5016,80
5017,81
5018,234
5019,63
5020,81
5021,88
5022,119
5023,189
5024,192
5025,31
5026,43
5027,91
5028,119
5029,114
5030,158
5031,17
5032,24
5033,63
5034,85
5035,86
5036,92
5037,16
5038,15
5039,120
5040,189
5041,212
5042,222
5043,16
5044,17
5045,24
5046,31
5047,35
5048,43
5049,17
5050,13
5051,15
5052,80
5053,92
5054,98
5055,82
5056,107
5057,120
5058,130
5059,147
5060,232
5061,16
5062,63
5063,84
5064,80
5065,116
5066,119
5067,85
5068,92
5069,119
5070,166
5071,227
5072,248
5073,24
5074,15
5075,63
5076,50
5077,80
5078,81
5079,15
5080,31
5081,72
5082,84
5083,80
5084,81
5085,16
5086,35
5087,63
5088,116
5089,119
5090,136
5091,102
5092,119
5093,173
5094,189
5095,186
5096,238
5097,15
5098,63
5099,64
5100,97
5101,102
5102,119
5103,13
5104,24
5105,15
5106,35
5107,46
5108,84
5109,17
5110,33
5111,36
5112,41
5113,73
5114,119
5115,15
5116,34
5117,39
5118,63
5119,108
5120,109
5121,13
5122,24
5123,35
5124,43
5125,63
5126,80
5127,15
5128,39
5129,56
5130,63
5131,64
5132,97
5133,84
5134,86
5135,92
5136,162
5137,180
5138,238
5139,80
5140,112
5141,182
5142,214
5143,238
5144,241
5145,16
5146,24
5147,35
5148,63
5149,119
5150,273
5151,63
5152,80
5153,87
5154,88
5155,119
5156,229
5157,16
5158,31
5159,35
5160,63
5161,65
5162,98
5163,15
5164,31
5165,35
5166,63
5167,65
5168,84
5169,24
5170,15
5171,31
5172,61
5173,63
5174,65
5175,4
5176,15
5177,97
5178,138
5179,175
5180,189
5181,13
5182,53
5183,97
5184,119
5185,174
5186,189
5187,63
5188,97
5189,119
5190,189
5191,227
5192,229
5193,16
5194,24
5195,15
5196,31
5197,61
5198,63
5199,88
5200,255
5201,33
5202,41
5203,72
5204,73
5205,84
5206,87
5207,40
5208,112
5209,114
5210,137
5211,162
5212,238
5213,63
5214,65
5215,94
5216,116
5217,119
5218,120
5219,43
5220,53
5221,116
5222,123
5223,192
5224,234
5225,43
5226,65
5227,120
5228,136
5229,232
5230,249
5231,16
5232,80
5233,248
5234,43
5235,65
5236,119
5237,120
5238,123
5239,248
5240,63
5241,84
5242,116
5243,189
5244,192
5245,206
5246,33
5247,41
5248,119
5249,114
5250,194
5251,212
5252,65
5253,80
5254,81
5255,119
5256,180
5257,189
5258,227
5259,238
5260,35
5261,42
5262,63
5263,80
5264,100
5265,116
5266,24
5267,74
5268,93
5269,104
5270,177
5271,180
5272,116
5273,119
5274,189
5275,184
5276,234
5277,248
5278,15
5279,35
5280,122
5281,147
5282,189
5283,229
5284,84
5285,136
5286,191
5287,248
5288,256
5289,266
5290,17
5291,24
5292,29
5293,15
5294,35
5295,43
5296,80
5297,157
5298,16
5299,12
5300,13
5301,24
5302,31
5303,35
5304,16
5305,24
5306,35
5307,62
5308,63
5309,85
5310,24
5311,58
5312,85
5313,88
5314,112
5315,114
5316,119
5317,122
5318,174
5319,206
5320,17
5321,13
5322,24
5323,42
5324,63
5325,84
5326,16
5327,33
5328,83
5329,114
5330,123
5331,162
5332,35
5333,80
5334,85
5335,120
5336,238
5337,256
5338,20
5339,84
5340,90
5341,166
5342,238
5343,241
5344,116
5345,119
5346,192
5347,238
5348,241
5349,248
5350,63
5351,152
5352,174
5353,189
5354,184
5355,186
5356,83
5357,114
5358,139
5359,238
5360,256
5361,17
5362,24
5363,14
5364,15
5365,58
5366,63
5367,23
5368,12
5369,13
5370,24
5371,15
5372,46
5373,43
5374,63
5375,84
5376,85
5377,90
5378,91
5379,16
5380,13
5381,31
5382,94
5383,85
5384,189
5385,24
5386,35
5387,63
5388,119
5389,147
5390,167
5391,24
5392,43
5393,86
5394,88
5395,91
5396,119
5397,16
5398,35
5399,65
5400,66
5401,94
5402,87
5403,80
5404,120
5405,166
5406,225
5407,232
5408,269
5409,35
5410,63
5411,65
5412,50
5413,81
5414,107
5415,4
5416,24
5417,63
5418,80
5419,81
5420,89
5421,47
5422,63
5423,64
5424,97
5425,189
5426,217
5427,63
5428,119
5429,138
5430,157
5431,189
5432,228
5433,119
5434,226
5435,238
5436,256
5437,16
5438,13
5439,117
5440,119
5441,180
5442,174
5443,16
5444,15
5445,31
5446,35
5447,46
5448,90
5449,36
5450,37
5451,63
5452,64
5453,95
5454,87
5455,35
5456,80
5457,90
5458,119
5459,120
5460,182
5461,43
5462,50
5463,84
5464,136
5465,35
5466,119
5467,189
5468,214
5469,273
5470,35
5471,63
5472,122
5473,189
5474,192
5475,184
5476,13
5477,63
5478,88
5479,119
5480,192
5481,200
5482,189
5483,216
5484,227
5485,238
5486,248
5487,273
5488,204
5489,220
5490,221
5491,231
5492,232
5493,262
5494,17
5495,24
5496,46
5497,63
5498,119
5499,135
5500,86
5501,88
5502,90
5503,120
5504,238
5505,261
5506,17
5507,24
5508,36
5509,42
5510,87
5511,91
5512,43
5513,107
5514,136
5515,166
5516,191
5517,238
5518,4
5519,24
5520,65
5521,80
5522,81
5523,119
5524,16
5525,15
5526,31
5527,62
5528,63
5529,80
5530,24
5531,14
5532,15
5533,64
5534,81
5535,180
5536,24
5537,63
5538,119
5539,157
5540,180
5541,238
5542,16
5543,22
5544,24
5545,31
5546,40
5547,55
5548,16
5549,17
5550,62
5551,63
5552,85
5553,81
5554,15
5555,31
5556,36
5557,65
5558,117
5559,119
5560,20
5561,36
5562,63
5563,84
5564,80
5565,91
5566,63
5567,64
5568,119
5569,180
5570,249
5571,74
5572,93
5573,119
5574,169
5575,189
5576,238
5577,63
5578,87
5579,100
5580,119
5581,167
5582,229
5583,16
5584,12
5585,13
5586,35
5587,43
5588,63
5589,35
5590,63
5591,147
5592,169
5593,189
5594,192
5595,43
5596,65
5597,84
5598,120
5599,123
5600,232
5601,13
5602,53
5603,97
5604,107
5605,116
5606,119
5607,39
5608,53
5609,62
5610,63
5611,84
5612,97
5613,33
5614,34
5615,35
5616,53
5617,115
5618,122
5619,16
5620,35
5621,63
5622,80
5623,85
5624,86
5625,84
5626,80
5627,273
5628,4
5629,35
5630,42
5631,43
5632,62
5633,80
5634,43
5635,64
5636,80
5637,92
5638,97
5639,119
5640,35
5641,52
5642,81
5643,144
5644,189
5645,184
5646,16
5647,204
5648,238
5649,243
5650,256
5651,266
5652,84
5653,189
5654,184
5655,238
5656,241
5657,248
5658,63
5659,80
5660,119
5661,120
5662,192
5663,243
5664,23
5665,13
5666,15
5667,35
5668,43
5669,52
5670,39
5671,63
5672,84
5673,119
5674,137
5675,180
5676,114
5677,232
5678,13
5679,46
5680,87
5681,88
5682,138
5683,139
5684,13
5685,97
5686,114
5687,130
5688,142
5689,147
5690,63
5691,84
5692,90
5693,83
5694,119
5695,114
5696,12
5697,13
5698,24
5699,15
5700,63
5701,119
5702,35
5703,80
5704,85
5705,120
5706,212
5707,222
5708,174
5709,189
5710,216
5711,227
5712,229
5713,238
5714,16
5715,13
5716,24
5717,15
5718,35
5719,43
5720,43
5721,63
5722,50
5723,90
5724,107
5725,119
5726,15
5727,31
5728,43
5729,84
5730,87
5731,88
5732,84
5733,80
5734,120
5735,191
5736,234
5737,248
5738,16
5739,35
5740,63
5741,84
5742,94
5743,92
5744,24
5745,15
5746,31
5747,35
5748,65
5749,130
5750,16
5751,63
5752,65
5753,50
5754,102
5755,119
5756,16
5757,31
5758,63
5759,80
5760,87
5761,83
5762,15
5763,31
5764,35
5765,63
5766,80
5767,94
5768,16
5769,63
5770,86
5771,119
5772,189
5773,186
5774,63
5775,84
5776,88
5777,90
5778,107
5779,116
5780,16
5781,88
5782,90
5783,166
5784,232
5785,260
5786,24
5787,15
5788,35
5789,80
5790,85
